period,timeInPeriod,timeRemaining,homeTeamDefendingSide,event,sortOrder,periodDescriptor_number,periodType,xCoord,yCoord,zoneCode,reason,shotType,goalieInNetId,awaySOG,homeSOG,typeCode,descKey,duration,secondaryReason,awayScore,homeScore,gameId,seasonId,gameDate,gameType,venue,elapsedTime,eventTeam,is_home,event_player1_Id,event_player2_Id,event_player3_Id,home_skaters,away_skaters,game_strength,home_skater_id1,home_skater_id2,home_skater_id3,home_skater_id4,home_skater_id5,home_skater_id6,away_skater_id1,away_skater_id2,away_skater_id3,away_skater_id4,away_skater_id5,away_skater_id6,home_skater_fullName1,home_skater_fullName2,home_skater_fullName3,home_skater_fullName4,home_skater_fullName5,home_skater_fullName6,away_skater_fullName1,away_skater_fullName2,away_skater_fullName3,away_skater_fullName4,away_skater_fullName5,away_skater_fullName6,home_goalie_id,away_goalie_id,home_goalie_fullName,away_goalie_fullName,normalized_xCoord,normalized_yCoord
1,00:00,20:00,right,period-start,8,1,REG,,,,,,,0.0,0.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,0,,,,,,5,5,5v5,8481618.0,8483515.0,8482087.0,8480192.0,8481523.0,,8477495.0,8477450.0,8473422.0,8481568.0,8470621.0,,Alex Newhook,Juraj Slafkovsky,Kaiden Guhle,Johnathan Kovacevic,Kirby Dach,,Seth Jones,Jason Dickinson,Nick Foligno,Alex Vlasic,Corey Perry,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,,
1,00:00,20:00,right,faceoff,9,1,REG,0.0,0.0,N,,,,0.0,0.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,0,CHI,0.0,8477450.0,8481523.0,,5,5,5v5,8481618.0,8483515.0,8482087.0,8480192.0,8481523.0,,8477495.0,8477450.0,8473422.0,8481568.0,8470621.0,,Alex Newhook,Juraj Slafkovsky,Kaiden Guhle,Johnathan Kovacevic,Kirby Dach,,Seth Jones,Jason Dickinson,Nick Foligno,Alex Vlasic,Corey Perry,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,0.0,0.0
1,00:08,19:52,right,hit,10,1,REG,78.0,-38.0,O,,,,0.0,0.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,8,CHI,0.0,8477450.0,8481523.0,,5,5,5v5,8481618.0,8483515.0,8482087.0,8480192.0,8481523.0,,8477495.0,8477450.0,8473422.0,8481568.0,8470621.0,,Alex Newhook,Juraj Slafkovsky,Kaiden Guhle,Johnathan Kovacevic,Kirby Dach,,Seth Jones,Jason Dickinson,Nick Foligno,Alex Vlasic,Corey Perry,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,78.0,-38.0
1,00:20,19:40,right,hit,11,1,REG,98.0,2.0,O,,,,0.0,0.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,20,CHI,0.0,8473422.0,8480192.0,,5,5,5v5,8481618.0,8483515.0,8482087.0,8480192.0,8481523.0,,8477495.0,8477450.0,8473422.0,8481568.0,8470621.0,,Alex Newhook,Juraj Slafkovsky,Kaiden Guhle,Johnathan Kovacevic,Kirby Dach,,Seth Jones,Jason Dickinson,Nick Foligno,Alex Vlasic,Corey Perry,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,98.0,2.0
1,00:23,19:37,right,hit,12,1,REG,19.0,42.0,N,,,,0.0,0.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,23,MTL,1.0,8483515.0,8477450.0,,5,5,5v5,8481618.0,8483515.0,8482087.0,8480192.0,8481523.0,,8477495.0,8477450.0,8473422.0,8481568.0,8470621.0,,Alex Newhook,Juraj Slafkovsky,Kaiden Guhle,Johnathan Kovacevic,Kirby Dach,,Seth Jones,Jason Dickinson,Nick Foligno,Alex Vlasic,Corey Perry,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,-19.0,-42.0
1,00:39,19:21,right,missed-shot,19,1,REG,-32.0,35.0,O,wide-left,wrist,8475852.0,0.0,0.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,39,MTL,1.0,8475233.0,,,5,5,5v5,8476875.0,8483515.0,8481540.0,8475233.0,8481523.0,,8477495.0,8477987.0,8479390.0,8483466.0,8484144.0,,Mike Matheson,Juraj Slafkovsky,Cole Caufield,David Savard,Kirby Dach,,Seth Jones,Ryan Donato,Taylor Raddysh,Kevin Korchinski,Connor Bedard,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,32.0,-35.0
1,01:10,18:50,right,stoppage,23,1,REG,,,,puck-in-netting,,,0.0,0.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,70,,,,,,5,5,5v5,8476875.0,8480018.0,8476981.0,8481540.0,8475233.0,,8476473.0,8477987.0,8479390.0,8483466.0,8484144.0,,Mike Matheson,Nick Suzuki,Josh Anderson,Cole Caufield,David Savard,,Connor Murphy,Ryan Donato,Taylor Raddysh,Kevin Korchinski,Connor Bedard,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,,
1,01:10,18:50,right,faceoff,24,1,REG,69.0,22.0,D,,,,0.0,0.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,70,MTL,1.0,8480018.0,8484144.0,,5,5,5v5,8476875.0,8480018.0,8476981.0,8481540.0,8475233.0,,8476473.0,8477987.0,8479390.0,8483466.0,8484144.0,,Mike Matheson,Nick Suzuki,Josh Anderson,Cole Caufield,David Savard,,Connor Murphy,Ryan Donato,Taylor Raddysh,Kevin Korchinski,Connor Bedard,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,-69.0,-22.0
1,01:29,18:31,right,shot-on-goal,25,1,REG,80.0,34.0,O,,wrist,8478470.0,1.0,0.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,89,CHI,0.0,8477987.0,,,5,5,5v5,8476875.0,8480018.0,8476981.0,8481540.0,8475233.0,,8476473.0,8477987.0,8479390.0,8483466.0,8484144.0,,Mike Matheson,Nick Suzuki,Josh Anderson,Cole Caufield,David Savard,,Connor Murphy,Ryan Donato,Taylor Raddysh,Kevin Korchinski,Connor Bedard,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,80.0,34.0
1,01:31,18:29,right,stoppage,26,1,REG,,,,goalie-stopped-after-sog,,,1.0,0.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,91,,,,,,5,5,5v5,8481093.0,8480887.0,8481058.0,8478133.0,8482964.0,,8475797.0,8482117.0,8482176.0,8476960.0,8474870.0,,Rafael Harvey-Pinard,Jordan Harris,Jesse Ylönen,Jake Evans,Arber Xhekaj,,Jarred Tinordi,Lukas Reichel,Wyatt Kaiser,Andreas Athanasiou,Tyler Johnson,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,,
1,01:31,18:29,right,faceoff,29,1,REG,69.0,22.0,D,,,,1.0,0.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,91,MTL,1.0,8478133.0,8474870.0,,5,5,5v5,8481093.0,8480887.0,8481058.0,8478133.0,8482964.0,,8475797.0,8482117.0,8482176.0,8476960.0,8474870.0,,Rafael Harvey-Pinard,Jordan Harris,Jesse Ylönen,Jake Evans,Arber Xhekaj,,Jarred Tinordi,Lukas Reichel,Wyatt Kaiser,Andreas Athanasiou,Tyler Johnson,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,-69.0,-22.0
1,01:35,18:25,right,giveaway,30,1,REG,79.0,-37.0,D,,,,1.0,0.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,95,MTL,1.0,8480887.0,,,5,5,5v5,8481093.0,8480887.0,8481058.0,8478133.0,8482964.0,,8475797.0,8482117.0,8482176.0,8476960.0,8474870.0,,Rafael Harvey-Pinard,Jordan Harris,Jesse Ylönen,Jake Evans,Arber Xhekaj,,Jarred Tinordi,Lukas Reichel,Wyatt Kaiser,Andreas Athanasiou,Tyler Johnson,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,-79.0,37.0
1,01:36,18:24,right,hit,31,1,REG,49.0,-41.0,D,,,,1.0,0.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,96,MTL,1.0,8482964.0,8476960.0,,5,5,5v5,8481093.0,8480887.0,8481058.0,8478133.0,8482964.0,,8475797.0,8482117.0,8482176.0,8476960.0,8474870.0,,Rafael Harvey-Pinard,Jordan Harris,Jesse Ylönen,Jake Evans,Arber Xhekaj,,Jarred Tinordi,Lukas Reichel,Wyatt Kaiser,Andreas Athanasiou,Tyler Johnson,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,-49.0,41.0
1,01:55,18:05,right,hit,32,1,REG,-98.0,7.0,O,,,,1.0,0.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,115,MTL,1.0,8478133.0,8475797.0,,5,5,5v5,8481093.0,8480887.0,8481058.0,8478133.0,8482964.0,,8475797.0,8482117.0,8482176.0,8476960.0,8474870.0,,Rafael Harvey-Pinard,Jordan Harris,Jesse Ylönen,Jake Evans,Arber Xhekaj,,Jarred Tinordi,Lukas Reichel,Wyatt Kaiser,Andreas Athanasiou,Tyler Johnson,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,98.0,-7.0
1,02:36,17:24,right,hit,42,1,REG,-98.0,-12.0,D,,,,1.0,0.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,156,CHI,0.0,8481147.0,8476871.0,,5,5,5v5,8476875.0,8475848.0,8475233.0,8476871.0,8477497.0,,8477495.0,8479383.0,8481147.0,8480252.0,8481568.0,,Mike Matheson,Brendan Gallagher,David Savard,Tanner Pearson,Sean Monahan,,Seth Jones,Boris Katchouk,Reese Johnson,Cole Guttman,Alex Vlasic,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,-98.0,-12.0
1,02:37,17:23,right,shot-on-goal,43,1,REG,-87.0,-21.0,O,,wrist,8475852.0,1.0,1.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,157,MTL,1.0,8475848.0,,,5,5,5v5,8476875.0,8475848.0,8475233.0,8476871.0,8477497.0,,8477495.0,8479383.0,8481147.0,8480252.0,8481568.0,,Mike Matheson,Brendan Gallagher,David Savard,Tanner Pearson,Sean Monahan,,Seth Jones,Boris Katchouk,Reese Johnson,Cole Guttman,Alex Vlasic,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,87.0,21.0
1,02:38,17:22,right,faceoff,47,1,REG,-69.0,-22.0,D,,,,1.0,1.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,158,CHI,0.0,8477450.0,8481618.0,,5,5,5v5,8476875.0,8481618.0,8483515.0,8475233.0,8481523.0,,8477495.0,8477450.0,8473422.0,8481568.0,8470621.0,,Mike Matheson,Alex Newhook,Juraj Slafkovsky,David Savard,Kirby Dach,,Seth Jones,Jason Dickinson,Nick Foligno,Alex Vlasic,Corey Perry,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,-69.0,-22.0
1,02:38,17:22,right,stoppage,44,1,REG,,,,goalie-stopped-after-sog,,,1.0,1.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,158,,,,,,5,5,5v5,8476875.0,8481618.0,8483515.0,8475233.0,8481523.0,,8477495.0,8477450.0,8473422.0,8481568.0,8470621.0,,Mike Matheson,Alex Newhook,Juraj Slafkovsky,David Savard,Kirby Dach,,Seth Jones,Jason Dickinson,Nick Foligno,Alex Vlasic,Corey Perry,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,,
1,02:50,17:10,right,giveaway,48,1,REG,21.0,-34.0,N,,,,1.0,1.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,170,CHI,0.0,8477495.0,,,5,5,5v5,8476875.0,8481618.0,8483515.0,8475233.0,8481523.0,,8477495.0,8477450.0,8473422.0,8481568.0,8470621.0,,Mike Matheson,Alex Newhook,Juraj Slafkovsky,David Savard,Kirby Dach,,Seth Jones,Jason Dickinson,Nick Foligno,Alex Vlasic,Corey Perry,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,21.0,-34.0
1,03:03,16:57,right,blocked-shot,49,1,REG,-66.0,-19.0,D,,,,1.0,1.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,183,CHI,0.0,8476875.0,8470621.0,,5,5,5v5,8476875.0,8481618.0,8483515.0,8475233.0,8481523.0,,8477495.0,8477450.0,8473422.0,8481568.0,8470621.0,,Mike Matheson,Alex Newhook,Juraj Slafkovsky,David Savard,Kirby Dach,,Seth Jones,Jason Dickinson,Nick Foligno,Alex Vlasic,Corey Perry,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,-66.0,-19.0
1,03:13,16:47,right,giveaway,50,1,REG,-41.0,-40.0,D,,,,1.0,1.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,193,CHI,0.0,8477450.0,,,5,5,5v5,8476875.0,8481618.0,8483515.0,8475233.0,8481523.0,,8477495.0,8477450.0,8473422.0,8481568.0,8470621.0,,Mike Matheson,Alex Newhook,Juraj Slafkovsky,David Savard,Kirby Dach,,Seth Jones,Jason Dickinson,Nick Foligno,Alex Vlasic,Corey Perry,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,-41.0,-40.0
1,03:23,16:37,right,delayed-penalty,51,1,REG,,,,,,,1.0,1.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,203,CHI,0.0,,,,5,5,5v5,8476875.0,8481618.0,8483515.0,8475233.0,8481523.0,,8477495.0,8477450.0,8473422.0,8481568.0,8470621.0,,Mike Matheson,Alex Newhook,Juraj Slafkovsky,David Savard,Kirby Dach,,Seth Jones,Jason Dickinson,Nick Foligno,Alex Vlasic,Corey Perry,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,,
1,03:32,16:28,right,penalty,53,1,REG,-58.0,-39.0,D,,,,1.0,1.0,MIN,slashing,2.0,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,212,CHI,0.0,8477450.0,8475233.0,,5,4,4v5,8476875.0,8480018.0,8481540.0,8481523.0,8477497.0,,8476473.0,8482176.0,8481147.0,8480252.0,,,Mike Matheson,Nick Suzuki,Cole Caufield,Kirby Dach,Sean Monahan,,Connor Murphy,Wyatt Kaiser,Reese Johnson,Cole Guttman,,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,-58.0,-39.0
1,03:32,16:28,right,faceoff,57,1,REG,-69.0,-22.0,O,,,,1.0,1.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,212,MTL,1.0,8477497.0,8480252.0,,5,4,5v4,8476875.0,8480018.0,8481540.0,8481523.0,8477497.0,,8476473.0,8482176.0,8481147.0,8480252.0,,,Mike Matheson,Nick Suzuki,Cole Caufield,Kirby Dach,Sean Monahan,,Connor Murphy,Wyatt Kaiser,Reese Johnson,Cole Guttman,,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,69.0,22.0
1,03:57,16:03,right,blocked-shot,58,1,REG,-84.0,-2.0,O,,,,1.0,1.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,237,MTL,1.0,8480018.0,8476875.0,,5,4,5v4,8476875.0,8480018.0,8481540.0,8481523.0,8477497.0,,8476473.0,8482176.0,8481147.0,8480252.0,,,Mike Matheson,Nick Suzuki,Cole Caufield,Kirby Dach,Sean Monahan,,Connor Murphy,Wyatt Kaiser,Reese Johnson,Cole Guttman,,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,84.0,2.0
1,04:06,15:54,right,shot-on-goal,59,1,REG,-82.0,9.0,O,,deflected,8475852.0,1.0,2.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,246,MTL,1.0,8480018.0,,,5,4,5v4,8476875.0,8480018.0,8481540.0,8481523.0,8477497.0,,8476473.0,8482176.0,8481147.0,8480252.0,,,Mike Matheson,Nick Suzuki,Cole Caufield,Kirby Dach,Sean Monahan,,Connor Murphy,Wyatt Kaiser,Reese Johnson,Cole Guttman,,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,82.0,-9.0
1,04:08,15:52,right,shot-on-goal,60,1,REG,-79.0,1.0,O,,backhand,8475852.0,1.0,3.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,248,MTL,1.0,8477497.0,,,5,4,5v4,8476875.0,8480018.0,8481540.0,8481523.0,8477497.0,,8476473.0,8482176.0,8481147.0,8480252.0,,,Mike Matheson,Nick Suzuki,Cole Caufield,Kirby Dach,Sean Monahan,,Connor Murphy,Wyatt Kaiser,Reese Johnson,Cole Guttman,,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,79.0,-1.0
1,04:13,15:47,right,shot-on-goal,61,1,REG,-35.0,-12.0,O,,wrist,8475852.0,1.0,4.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,253,MTL,1.0,8476875.0,,,5,4,5v4,8476875.0,8480018.0,8481540.0,8481523.0,8477497.0,,8476473.0,8482176.0,8481147.0,8480252.0,,,Mike Matheson,Nick Suzuki,Cole Caufield,Kirby Dach,Sean Monahan,,Connor Murphy,Wyatt Kaiser,Reese Johnson,Cole Guttman,,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,35.0,12.0
1,04:46,15:14,right,giveaway,65,1,REG,-38.0,37.0,D,,,,1.0,4.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,286,CHI,0.0,8481568.0,,,5,4,4v5,8480018.0,8481540.0,8482964.0,8481523.0,8477497.0,,8477495.0,8479390.0,8479383.0,8481568.0,,,Nick Suzuki,Cole Caufield,Arber Xhekaj,Kirby Dach,Sean Monahan,,Seth Jones,Taylor Raddysh,Boris Katchouk,Alex Vlasic,,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,-38.0,37.0
1,04:54,15:06,right,shot-on-goal,66,1,REG,-42.0,-1.0,O,,wrist,8475852.0,1.0,5.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,294,MTL,1.0,8482964.0,,,5,4,5v4,8480018.0,8481540.0,8482964.0,8481523.0,8477497.0,,8477495.0,8479390.0,8479383.0,8481568.0,,,Nick Suzuki,Cole Caufield,Arber Xhekaj,Kirby Dach,Sean Monahan,,Seth Jones,Taylor Raddysh,Boris Katchouk,Alex Vlasic,,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,42.0,1.0
1,05:19,14:41,right,blocked-shot,72,1,REG,-68.0,-15.0,D,,,,1.0,5.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,319,CHI,0.0,8482964.0,8474870.0,,5,4,4v5,8475848.0,8481618.0,8476981.0,8483515.0,8482964.0,,8476473.0,8473422.0,8475797.0,8474870.0,,,Brendan Gallagher,Alex Newhook,Josh Anderson,Juraj Slafkovsky,Arber Xhekaj,,Connor Murphy,Nick Foligno,Jarred Tinordi,Tyler Johnson,,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,-68.0,-15.0
1,05:27,14:33,right,blocked-shot,73,1,REG,-63.0,7.0,D,,,,1.0,5.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,327,CHI,0.0,8475848.0,8476473.0,,5,4,4v5,8475848.0,8481618.0,8476981.0,8483515.0,8482964.0,,8476473.0,8473422.0,8475797.0,8474870.0,,,Brendan Gallagher,Alex Newhook,Josh Anderson,Juraj Slafkovsky,Arber Xhekaj,,Connor Murphy,Nick Foligno,Jarred Tinordi,Tyler Johnson,,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,-63.0,7.0
1,05:28,14:32,right,blocked-shot,74,1,REG,-77.0,5.0,D,,,,1.0,5.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,328,CHI,0.0,8475848.0,8475797.0,,5,4,4v5,8475848.0,8481618.0,8476981.0,8483515.0,8482964.0,,8476473.0,8473422.0,8475797.0,8474870.0,,,Brendan Gallagher,Alex Newhook,Josh Anderson,Juraj Slafkovsky,Arber Xhekaj,,Connor Murphy,Nick Foligno,Jarred Tinordi,Tyler Johnson,,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,-77.0,5.0
1,05:36,14:24,right,shot-on-goal,76,1,REG,-83.0,9.0,O,,wrist,8475852.0,1.0,6.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,336,MTL,1.0,8481618.0,,,5,5,5v5,8475848.0,8481618.0,8476981.0,8483515.0,8482964.0,,8476473.0,8477450.0,8473422.0,8475797.0,8474870.0,,Brendan Gallagher,Alex Newhook,Josh Anderson,Juraj Slafkovsky,Arber Xhekaj,,Connor Murphy,Jason Dickinson,Nick Foligno,Jarred Tinordi,Tyler Johnson,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,83.0,-9.0
1,05:38,14:22,right,missed-shot,77,1,REG,-83.0,0.0,O,wide-right,backhand,8475852.0,1.0,6.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,338,MTL,1.0,8476981.0,,,5,5,5v5,8475848.0,8481618.0,8476981.0,8483515.0,8482964.0,,8476473.0,8477450.0,8473422.0,8475797.0,8474870.0,,Brendan Gallagher,Alex Newhook,Josh Anderson,Juraj Slafkovsky,Arber Xhekaj,,Connor Murphy,Jason Dickinson,Nick Foligno,Jarred Tinordi,Tyler Johnson,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,83.0,-0.0
1,05:48,14:12,right,giveaway,85,1,REG,42.0,-40.0,D,,,,1.0,6.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,348,MTL,1.0,8478470.0,,,5,5,5v5,8482087.0,8481093.0,8481058.0,8478133.0,8482964.0,,8477495.0,8477987.0,8477450.0,8483466.0,8484144.0,,Kaiden Guhle,Rafael Harvey-Pinard,Jesse Ylönen,Jake Evans,Arber Xhekaj,,Seth Jones,Ryan Donato,Jason Dickinson,Kevin Korchinski,Connor Bedard,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,-42.0,40.0
1,06:05,13:55,right,delayed-penalty,89,1,REG,,,,,,,1.0,7.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,365,MTL,1.0,,,,5,5,5v5,8482087.0,8480192.0,8481093.0,8481058.0,8478133.0,,8477495.0,8477987.0,8479390.0,8483466.0,8484144.0,,Kaiden Guhle,Johnathan Kovacevic,Rafael Harvey-Pinard,Jesse Ylönen,Jake Evans,,Seth Jones,Ryan Donato,Taylor Raddysh,Kevin Korchinski,Connor Bedard,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,,
1,06:05,13:55,right,shot-on-goal,88,1,REG,-79.0,9.0,O,,wrist,8475852.0,1.0,7.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,365,MTL,1.0,8481093.0,,,5,5,5v5,8482087.0,8480192.0,8481093.0,8481058.0,8478133.0,,8477495.0,8477987.0,8479390.0,8483466.0,8484144.0,,Kaiden Guhle,Johnathan Kovacevic,Rafael Harvey-Pinard,Jesse Ylönen,Jake Evans,,Seth Jones,Ryan Donato,Taylor Raddysh,Kevin Korchinski,Connor Bedard,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,79.0,-9.0
1,06:09,13:51,right,penalty,90,1,REG,-72.0,-28.0,O,,,,1.0,7.0,MIN,hooking,2.0,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,369,MTL,1.0,8482087.0,8484144.0,,4,5,4v5,8476875.0,8481058.0,8475233.0,8478133.0,,,8477495.0,8477987.0,8482117.0,8470621.0,8484144.0,,Mike Matheson,Jesse Ylönen,David Savard,Jake Evans,,,Seth Jones,Ryan Donato,Lukas Reichel,Corey Perry,Connor Bedard,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,72.0,28.0
1,06:09,13:51,right,stoppage,92,1,REG,,,,tv-timeout,,,1.0,7.0,,,,tv-timeout,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,369,,,,,,4,5,4v5,8476875.0,8481058.0,8475233.0,8478133.0,,,8477495.0,8477987.0,8482117.0,8470621.0,8484144.0,,Mike Matheson,Jesse Ylönen,David Savard,Jake Evans,,,Seth Jones,Ryan Donato,Lukas Reichel,Corey Perry,Connor Bedard,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,,
1,06:09,13:51,right,faceoff,95,1,REG,69.0,22.0,D,,,,1.0,7.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,369,MTL,1.0,8478133.0,8477987.0,,4,5,4v5,8476875.0,8481058.0,8475233.0,8478133.0,,,8477495.0,8477987.0,8482117.0,8470621.0,8484144.0,,Mike Matheson,Jesse Ylönen,David Savard,Jake Evans,,,Seth Jones,Ryan Donato,Lukas Reichel,Corey Perry,Connor Bedard,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,-69.0,-22.0
1,06:12,13:48,right,shot-on-goal,96,1,REG,-32.0,-15.0,O,,wrist,8475852.0,1.0,8.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,372,MTL,1.0,8476875.0,,,4,5,4v5,8476875.0,8481058.0,8475233.0,8478133.0,,,8477495.0,8477987.0,8482117.0,8470621.0,8484144.0,,Mike Matheson,Jesse Ylönen,David Savard,Jake Evans,,,Seth Jones,Ryan Donato,Lukas Reichel,Corey Perry,Connor Bedard,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,32.0,15.0
1,06:16,13:44,right,shot-on-goal,97,1,REG,92.0,7.0,D,,wrist,8475852.0,1.0,9.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,376,MTL,1.0,8475233.0,,,4,5,4v5,8476875.0,8481058.0,8475233.0,8478133.0,,,8477495.0,8477987.0,8482117.0,8470621.0,8484144.0,,Mike Matheson,Jesse Ylönen,David Savard,Jake Evans,,,Seth Jones,Ryan Donato,Lukas Reichel,Corey Perry,Connor Bedard,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,-92.0,-7.0
1,06:58,13:02,right,shot-on-goal,99,1,REG,80.0,1.0,O,,tip-in,8478470.0,2.0,9.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,418,CHI,0.0,8470621.0,,,4,5,5v4,8476875.0,8481058.0,8475233.0,8476871.0,,,8477495.0,8477987.0,8482117.0,8470621.0,8484144.0,,Mike Matheson,Jesse Ylönen,David Savard,Tanner Pearson,,,Seth Jones,Ryan Donato,Lukas Reichel,Corey Perry,Connor Bedard,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,80.0,1.0
1,07:00,13:00,right,shot-on-goal,100,1,REG,82.0,5.0,O,,wrist,8478470.0,3.0,9.0,,,,,0.0,0.0,2023020024,20232024,2023-10-14,2,Centre Bell,420,CHI,0.0,8484144.0,,,4,5,5v4,8476875.0,8481058.0,8475233.0,8476871.0,,,8477495.0,8477987.0,8482117.0,8470621.0,8484144.0,,Mike Matheson,Jesse Ylönen,David Savard,Tanner Pearson,,,Seth Jones,Ryan Donato,Lukas Reichel,Corey Perry,Connor Bedard,,8478470.0,8475852.0,Sam Montembeault,Petr Mrazek,82.0,5.0
